ParkID,PSA,Park,FQ,Score
86,PSA4,Carl Larsen Park,FY05Q3,0.795
13,PSA4,Junipero Serra Playground,FY05Q3,0.957
9,PSA4,Rolph Nicol Playground,FY05Q3,0.864
117,PSA2,Alamo Square,FY05Q4,0.857
60,PSA6,Jose Coronado Playground,FY05Q4,0.859
42,PSA3,Little Hollywood Park,FY05Q4,0.846
10,PSA4,Lake Merced Park,FY05Q4,0.73
94,GGP,Golden Gate Park,FY05Q4,0.588
104,PSA2,Grattan Playground,FY05Q4,0.873
153,PSA1,Francisco Park,FY05Q4,1
111,PSA1,Palace of Fine Arts,FY05Q4,0.772
80,PSA5,Corona Heights,FY05Q4,1
200,PSA5,States Street Playground,FY05Q4,0.961
33,PSA6,Bernal Heights Recreation Center,FY05Q4,0.921
192,PSA2,Turk-Hyde Mini Park,FY05Q4,1
22,PSA5,Upper Noe Recreation Center,FY05Q4,0.779
32,PSA6,Holly Park,FY05Q4,0.932
140,PSA1,Betty Ann Ong Chinese Recreation Center,FY05Q4,0.854
144,PSA1,Washington-Hyde Mini Park,FY05Q4,1
137,PSA1,Collis P. Huntington Park,FY05Q4,0.978
145,PSA1,Ina Coolbrith Mini Park,FY05Q4,0.826
75,PSA5,Eureka Valley Recreation Center,FY05Q4,0.385
73,PSA5,Seward Mini Park,FY05Q4,0.956
94,GGP,Golden Gate Park,FY05Q4,0.864
30,PSA3,Palega Recreation Center,FY05Q4,0.796
89,PSA4,Golden Gate Heights Park,FY05Q4,0.878
72,PSA5,Noe Valley Courts,FY05Q4,0.54
7,PSA5,George Christopher Playground,FY05Q4,0.5
8,PSA5,Douglass Playground,FY05Q4,0.537
61,PSA6,Mission Playground,FY05Q4,0.566
105,PSA1,Angelo J. Rossi Playground,FY05Q4,0.881
96,PSA1,Fulton Playground,FY05Q4,0.785
201,PSA6,Prentiss Mini Park,FY05Q4,0.938
95,PSA1,Cabrillo Playground,FY05Q4,0.847
156,PSA1,10th Avenue-Clement Mini Park,FY05Q4,0.655
172,PSA1,Richmond Recreation Center,FY05Q4,0.952
118,PSA2,Joseph L. Alioto Performing Arts Piazza,FY05Q4,0.974
65,PSA4,Aptos Playground,FY05Q4,0.759
9,PSA4,Rolph Nicol Playground,FY05Q4,0.904
54,PSA2,Jackson Playground,FY05Q4,0.885
52,PSA2,Potrero Hill Recreation Center,FY05Q4,0.831
159,PSA5,Cayuga-Lamartine Mini Park,FY05Q4,0.545
31,PSA6,St. Mary's Recreation Center,FY05Q4,0.976
94,GGP,Golden Gate Park,FY05Q4,0.877
141,PSA1,Portsmouth Square,FY05Q4,0.714
134,PSA2,Father Alfred E. Boeddeker Park,FY05Q4,1
164,PSA3,Crocker Amazon Playground,FY05Q4,0.809
13,PSA4,Junipero Serra Playground,FY05Q4,0.935
68,PSA4,West Portal Playground,FY05Q4,1
16,PSA4,Randolph-Bright Mini Park,FY05Q4,0.875
196,PSA4,Head-Brotherhood Mini Park,FY05Q4,0.957
17,PSA4,Merced Heights Playground,FY05Q4,0.747
70,PSA5,Miraloma Playground,FY05Q4,0.914
1,PSA5,Glen Park,FY05Q4,0.858
158,PSA5,Joost-Baden Mini Park,FY06Q1,0.571
34,PSA6,Coleridge Mini Park,FY06Q1,0.632
182,PSA2,Fillmore-Turk Mini Park,FY06Q1,0.73
122,PSA2,Jefferson Square,FY06Q1,0.788
107,PSA1,Laurel Hill Playground,FY06Q1,0.896
166,PSA1,Julius Kahn Playground,FY06Q1,0.872
108,PSA2,Bush-Broderick Mini Park,FY06Q1,0.714
119,PSA2,Margaret S. Hayward Playground,FY06Q1,0.87
105,PSA1,Angelo J. Rossi Playground,FY06Q1,0.909
116,PSA2,Hayes Valley Playground,FY06Q1,0.939
114,PSA2,Page-Laguna Mini Park,FY06Q1,0.833
56,PSA2,South Park,FY06Q1,0.979
38,PSA3,Bay View Playground,FY06Q1,0.717
44,PSA3,Gilman Playground,FY06Q1,0.702
177,PSA3,Visitacion Valley Greenway,FY06Q1,0.859
157,PSA3,Selby-Palou Mini Park,FY06Q1,0.548
102,PSA1,Mountain Lake Park,FY06Q1,0.849
124,PSA2,Raymond Kimbell Playground,FY06Q1,0.568
51,PSA6,24th Street-York Mini Park,FY06Q1,0.927
45,PSA3,Youngblood Coleman Playground,FY06Q1,0.785
82,PSA4,Pine Lake Park,FY06Q1,0.692
18,PSA4,Brooks Park,FY06Q1,1
23,PSA6,Juri Commons,FY06Q1,0.739
187,PSA6,Parque Ninos Unidos,FY06Q1,0.906
39,PSA3,Silver Terrace Playground,FY06Q1,0.802
188,PSA3,Palou-Phelps Park,FY06Q1,0.787
93,PSA4,Sunset Playground,FY06Q1,0.773
165,PSA3,Hunters Point Recreation Center,FY06Q1,0.639
